English,VietNamese
lay,đặt nằm
reach,chạm tới
we're,là
second,thứ hai
wouldn't,sẽ không
slowly,chậm rãi
write,viết
ear,tai
eat,ăn
sing,hát
smell,đánh hơi
mouth,mồm
step,bươc
learn,học
three,số ba
gave,đã đưa cho
set,đặt
floor,tầng
promise,hứa
breathe,thở
darkness,bóng tối
push,xô
earth,Trái đất
guess,phỏng đoán
save,cứu
song,bài hát
till,đến
above,ở trên
along,dọc theo
both,cả hai
what's,những gì
color,màu sắc
house,nhà ở
almost,gần như
sorry,Xin lỗi
anymore,nữa không
yes,đúng
brother,Anh trai
okay,Được chứ
dear,kính thưa
game,trò chơi
fade,phai màu
already,đã
apart,riêng biệt
warm,ấm áp
beauty,"sắc đẹp, vẻ đẹp"
heard,nghe
notice,lưu ý
question,câu hỏi
shine,chiếu sáng
began,đã bắt đầu
piece,mảnh
whole,trọn
shadow,bóng
secret,bí mật
street,đường phố
within,ở trong
finger,ngón tay
point,điểm
morning,buổi sáng
whisper,thì thầm
child,trẻ em
fun,niềm vui
moon,mặt trăng
green,màu xanh lá
read,đọc
story,câu chuyện
wasn't,không
glass,cốc thủy tinh
kid,đứa trẻ
lose,mất
silence,Im lặng
pick,nhặt
cut,cắt tỉa
fast,Nhanh
since,từ
soft,mềm
yourself,bản thân bạn
empty,trống
shall,nên
angel,Thiên thần
answer,trả lời
baby,Đứa bé
bright,sáng chói
dad,cha
path,đường dẫn
worry,lo
hour,giờ
drop,làm rơi
fell,giảm
you'd,bạn muốn
follow,theo dõi
power,sức mạnh
war,chiến tranh
half,một nửa
flow,lưu lượng
heaven,Thiên đường
wake,trỗi dậy
act,hành động
chance,cơ hội
fact,sự thật
least,ít nhất
tired,mệt mỏi
children,bọn trẻ
near,ở gần
quite,hoàn toàn
scare,sự sợ hãi
afraid,sợ
rise,nổi lên
sea,biển
taste,nếm thử
window,cửa sổ
cover,trải ra
nice,đẹp
trust,Lòng tin
lot,nhiều
sad,buồn
cool,mát mẻ
force,lực lượng
peace,Sự thanh bình
return,trở về
wear,mặc
blind,mù
easy,dễ
ready,Sẵn sàng
roll,cuộn
rose,Hoa hồng
shit,Chết tiệt
drive,lái xe
held,được tổ chức
music,Âm nhạc
share,chia sẻ
beneath,ở trên
hang,treo
mom,mẹ
paint,Sơn
emotion,cảm xúc
quiet,im lặng
slow,chậm
we'll,ổn
clear,thông thoáng
cloud,mây
few,một vài
pretty,đẹp
bird,chim
outside,ngoài
paper,giấy
picture,bức ảnh
front,sự trơ trẽn
rock,đá
simple,đơn giản
top,hàng đầu
anyone,bất kỳ ai
meant,nghĩa
reality,thực tế
road,đường bộ
sense,ý nghĩa sâu sắc
waste,chất thải
bit,chút
leaf,Lá cây
thank,cảm tạ
happiness,niềm hạnh phúc
meet,gặp
men,đàn ông
smoke,Khói
truly,thật
decide,quyết định
self,bản thân
age,tuổi tác
book,sách
form,hình thức
hot,nóng bức
alive,sống sót
carry,"mang, thừa nhận"
met,gặp
escape,chạy trốn
damn,chết tiệt
instead,thay thế
shake,rung chuyển
able,có thể
ice,Nước đá
minute,phút
throw,ném
catch,chụp lấy
four,bốn
leg,Chân
ring,nhẫn
ago,trước kia
course,khóa học
goodbye,Tạm biệt
lead,lãnh đạo
poem,bài thơ
sick,bệnh
corner,góc
desire,sự mong muốn
fine,khỏe
gonna,sẽ
known,biết
problem,vấn đề
ran,đã chạy
remind,nhắc nhở
shoulder,vai
suppose,cho rằng
they're,họ
toward,theo hướng
wave,làn sóng
drink,uống
jump,nhảy
woman,đàn bà
pretend,giả vờ
sister,chị gái
week,tuần
human,Nhân loại
joy,vui sướng
crack,nứt
dare,dám
grey,xám
pray,cầu nguyện
surprise,bất ngờ
dry,khô
knee,đầu gối
less,ít hơn
ride,điều khiển
search,Tìm kiếm
short,ngắn ngủi
bleed,chảy máu
caught,bắt
clean,dọn dẹp
embrace,ôm
future,Tương lai
king,nhà vua
son,Con trai
sorrow,nỗi buồn
chest,ngực
hug,ôm
remain,duy trì
sat,đã ngồi
wing,canh
worth,đáng giá
blow,thổi
daddy,bố
final,sau cùng
parent,cha mẹ
tight,chặt
also,cũng thế
create,tạo ra
lonely,cô đơn
onto,trên
safe,an toàn
aren't,không
cross,đi qua
dress,trang phục
evil,tà ác
silent,im lặng
bone,khúc xương
brought,đem lại
fate,số phận
perhaps,có lẽ
anger,Sự phẫn nộ
class,lớp học
scar,vết sẹo
sight,thị giác
snow,tuyết
tiny,nhỏ bé
tonight,đêm nay
wanna,muốn
continue,tiếp tục
control,kiểm soát
dog,chú chó
edge,bờ rìa
fool,lừa gạt
mirror,gương
month,tháng
suddenly,đột ngột
comfort,an ủi
given,được cho
loud,to tiếng
quickly,Mau
gaze,ánh mắt
plan,kế hoạch
rush,cây bấc
slip,trượt
stone,cục đá
town,thành phố
ass,đít
battle,trận đánh
ignore,Làm lơ
spirit,tinh thần
stood,đứng
stupid,dốt nát
yours,của bạn
brown,màu nâu
build,xây dựng
dust,bụi
food,món ăn
hey,này
kept,đã giữ
pay,trả
phone,điện thoại
twist,xoắn
although,Mặc du
ball,trái bóng
beyond,vượt ra ngoài
drown,chết chìm
fit,Phù hợp
hidden,ẩn giấu
nose,mũi
taken,Lấy
fail,Thất bại
float,trôi nổi
lock,Khóa
pure,thuần khiết
sand,cát
somehow,bằng cách nào đó
wash,rửa
wrap,bọc
angry,bực bội
cheek,gò má
creature,sinh vật
forgotten,đã quên
heat,nhiệt
hole,hố
rip,Xé toạc
single,Độc thân
space,khoảng trống
special,đặc biệt
weak,Yếu
whatever,sao cũng được
yell,tiếng thét
anyway,dù sao
blame,khiển trách
job,Công việc
choose,chọn
country,Quốc gia
curse,nguyền rủa
drift,trôi giạt
echo,bắt chước
figure,nhân vật
gold,vàng
golden,vàng
grew,lớn
herself,chính cô ấy
laughter,tiếng cười
neck,cái cổ
suffer,chịu đựng
worse,tệ hơn
yeah,Ừ
bear,chịu
disappear,biến mất
foot,Bàn Chân
forward,phía trước
knife,dao
mess,sự lộn xộn
nor,cũng không
race,cuộc đua
somewhere,một vài nơi
stomach,Dạ dày
storm,bão
beg,ăn xin
idea,ý tưởng
lift,nâng lên
offer,phục vụ
she'll,vỏ bọc
tall,cao
breeze,gió
field,đồng ruộng
five,số năm
often,thường
round,vòng
simply,đơn giản
stuck,bị mắc kẹt
thin,gầy
win,thắng
allow,cho phép
confuse,nhầm lẫn
enjoy,vui thích
except,ngoại trừ
flower,Hoa
seek,tìm kiếm
strength,sức lực
calm,trấn tĩnh
grin,nụ cười
gun,súng
heavy,nặng
hill,đồi
himself,bản thân anh ấy
large,lớn
ocean,đại dương
shoe,giày
sigh,thở dài
straight,thẳng
summer,mùa hạ
tongue,lưỡi
accept,Chấp nhận
crazy,phát điên
everyday,Hằng ngày
exist,hiện hữu
fake,đồ giả
grass,cỏ
mistake,sai lầm
sent,gởi
shut,đóng
sin,tội
surround,vây quanh
table,bàn
ache,nhức
brain,óc
destroy,hủy hoại
heal,chữa lành
nature,Thiên nhiên
shout,hét
sign,dấu hiệu
stain,vết bẩn
choice,sự lựa chọn
doubt,nghi ngờ
glance,nhìn thoáng qua
glow,ánh sáng
mountain,núi
queen,nữ hoàng
send,gửi
shot,bắn
spent,dành ra
stranger,người lạ
throat,họng
tomorrow,ngày mai
city,thành phố
either,một trong hai
fish,cá
flame,ngọn lửa
mad,điên rồ
rather,hơn là
shape,hình dạng
spin,quay
spread,Lan tràn
wide,rộng
ash,tro
distance,khoảng cách
fallen,rơi
finish,hoàn thành
image,hình ảnh
imagine,tưởng tượng
important,quan trọng
nobody,không ai
none,không ai
shatter,làm vỡ
warmth,hơi nóng
became,đã trở thành
below,phía dưới
bore,chán
fat,mập
feed,cho ăn
flesh,thịt
funny,vui
lust,ham muốn
shirt,áo sơ mi
trouble,Sự chịu khó
yellow,màu vàng
attention,chú ý
bare,trần
bite,cắn
cat,con mèo
lack,thiếu
money,tiền bạc
protect,bảo vệ
we've,chúng tôi đã
ain't,không phải là
amaze,Amaze
appear,xuất hiện
born,sinh ra
choke,nghẹt thở
completely,hoàn toàn
daughter,Con gái
fresh,mới
friendship,hữu nghị
gentle,dịu dàng
probably,có lẽ
six,sáu
trap,bẩy
beast,quái thú
deserve,xứng đáng
expect,chờ đợi
grab,vồ lấy
haven't,có không
middle,tên đệm
nightmare,ác mộng
river,con sông
thousand,một ngàn
weight,trọng lượng
worst,tồi tệ nhất
wound,chạm đến
barely,vừa đủ
bottle,chai
cream,kem
lover,người yêu
low,thấp
mile,dặm
regret,hối tiếc
relationship,mối quan hệ
stick,cây gậy
test,Bài kiểm tra
whose,của ai
crush,người bạn thích
endless,bất tận
fault,lỗi
itself,chinh no
rage,cơn thịnh nộ
rule,luật lệ
spill,tràn
art,nghệ thuật
circle,vòng tròn
join,tham gia
kick,đá
mask,mặt nạ
master,bậc thầy
passion,đam mê
quick,nhanh
raise,làm tăng
smooth,trơn tru
unless,trừ phi
wander,đi lang thang
actually,thực ra
broke,phá sản
chair,cái ghế
deal,thỏa thuận
favorite,yêu thích
gift,quà tặng
note,Ghi chú
number,số
shed,rụng
suck,hút
sweat,mồ hôi
tale,truyện
bitch,chó cái
box,cái hộp
chill,làm lạnh
clothes,quần áo
hall,đại sảnh
lady,người phụ nữ
mark,đánh dấu
park,công viên
poor,nghèo nàn
sadness,sự sầu nảo
tie,buộc
animal,thú vật
belong,thuộc về
brush,chải
consume,tiêu thụ
dawn,bình Minh
forest,rừng
grave,phần mộ
he'll,Địa ngục
innocent,vô tội
pen,cái bút
pride,tự hào
stream,dòng
thick,đặc
weren't,không
clay,đất sét
complete,hoàn chỉnh
count,đếm
draw,vẽ
faith,sự tin tưởng
he'd,anh ấy
let's,hãy
press,nhấn
silver,bạc
struggle,đấu tranh
surface,bề mặt
taught,dạy
teach,dạy bảo
wet,bị ướt
bless,ban phước
chase,săn bắt
climb,leo
enter,đi vào
letter,chữ cái
melt,tan chảy
metal,kim loại
movie,bộ phim
stretch,kéo dài
swing,lung lay
ten,mười
vision,tầm nhìn
wife,vợ
beside,bên cạnh
crash,Vụ tai nạn
forgot,quên mất
guide,hướng dẫn
haunt,ám ảnh
joke,câu nói đùa
knock,cú đánh
plant,thực vật
pour,đổ vào
prove,chứng minh
reveal,tiết lộ
steal,lấy trộm
stuff,đồ đạc
trip,chuyến đi
wood,gỗ
wrist,cổ tay
bother,làm phiền
bottom,đáy
crawl,bò
crowd,bầy đàn
fix,sửa chữa
forgive,tha lỗi
frown,nhăn mặt
grace,duyên dáng
loose,lỏng lẻo
lucky,may mắn
party,buổi tiệc
release,giải phóng
seat,ghế
surely,chắc chắn
survive,sóng sót
teacher,giáo viên
gently,dịu dàng
grip,nắm chặt
speed,"tốc độ, vận tốc"
suicide,tự vận
travel,du lịch
treat,đối xử
vein,tĩnh mạch
written,bằng văn bản
cage,lồng
chain,chuỗi
conversation,cuộc nói chuyện
date,ngày tháng
enemy,kẻ thù
fair,công bằng
however,Tuy nhiên
interest,quan tâm
million,triệu
page,trang
pink,Hồng
proud,hãnh diện
she'd,cô
sway,sway
themselves,chúng tôi
track,theo dõi
who's,ai
winter,mùa đông
church,Nhà thờ
cruel,hung ác
cup,tách
demon,yêu quái
experience,kinh nghiệm
freedom,sự tự do
pair,đôi
pop,nhạc pop
purpose,mục đích
respect,kính trọng
shoot,bắn
softly,nhẹ nhàng
state,tình trạng
store,cửa hàng
strange,lạ lùng
toy,đồ chơi
bar,quán ba
beach,bờ biển
birth,Sinh
curl,Xoăn
dirt,bụi
excuse,thứ lỗi
hat,mũ
lake,Hồ
lord,Chúa tể
lovely,đẹp
monster,quái vật
order,đặt hàng
pack,đóng gói
pants,quần dài
pool,Hồ bơi
scene,bối cảnh
seven,bảy
shame,xấu hổ
shouldn't,không nên
slide,cầu trượt
ugly,xấu xí
whom,ai
among,ở giữa
blade,lưỡi
blonde,vàng
closet,buồng nhỏ
creek,Lạch nhỏ
deny,phủ nhận
drug,thuốc uống
eternity,bất diệt
gain,nhận được
grade,lớp
handle,xử lý
key,Chìa khóa
linger,kéo dài
pale,tái nhợt
prepare,chuẩn bị các
swallow,nuốt
swim,bơi
torn,rách
tremble,run
wheel,bánh xe
won,thắng
cast,dàn diễn viên
cigarette,thuốc lá
claim,yêu cầu
college,trường Cao đẳng
direction,hướng đi
dirty,bẩn thỉu
gather,tụ họp
ghost,bóng ma
hundred,một trăm
loss,sự mất mát
lung,phổi
orange,quả cam
present,hiện tại
swear,xin thề
swirl,xoáy
twice,hai lần
wild,hoang dã
bitter,vị đắng
blanket,cái mền
case,trường hợp
doctor,Bác sĩ
everywhere,mọi nơi
flash,tốc biến
grown,tăng
knowledge,kiến thức
numb,tê
pressure,áp lực
radio,Đài
repeat,nói lại
ruin,sự đổ nát
spend,chi tiêu
unknown,không xác định
buy,mua
clock,cái đồng hồ
devil,ác quỷ
early,sớm
FALSE,SAI
fantasy,ảo tưởng
pound,pao
precious,quí
refuse,từ chối
sheet,tấm
shell,vỏ bọc
spoke,chấu
teeth,hàm răng
welcome,hoan nghênh
add,cộng
ahead,phía trước
block,khối
bury,chôn
caress,mơn trớn
content,Nội dung
depth,chiều sâu
despite,cho dù
distant,xa xôi
marry,kết hôn
purple,màu tím
they'll,họ sẽ
threw,ném
thus,như vậy
tone,tấn
whenever,bất cứ khi nào
bomb,bom
dull,chán ngắt
easily,một cách dễ dàng
grasp,sự hiểu biết
hospital,bệnh viện
innocence,Vô tội
normal,thông thường
receive,nhận
reply,Đáp lại
rhyme,vần
shade,bóng râm
someday,một ngày nào đó
sword,thanh kiếm
toe,ngón chân
visit,thăm nom
asleep,ngủ
bell,chuông
bought,đã mua
center,Trung tâm
consider,coi như
flat,bằng phẳng
hero,anh hùng
history,Môn lịch sử
ink,mực
insane,điên cuồng
muscle,cơ bắp
mystery,bí ẩn
pocket,túi
reflection,sự phản xạ
shove,xô
silently,thầm lặng
smart,thông minh
soldier,lính
spot,điểm
stress,căng thẳng
train,xe lửa
type,thể loại
view,Quang cảnh
whether,liệu
bus,xe buýt
energy,năng lượng
explain,giải thích
holy,thánh
hunger,nạn đói
inch,inch
it'll,nó sẽ
lean,độ nghiêng
magic,ảo thuật
mix,pha trộn
noise,tiếng ồn
nowhere,hư không
prayer,người cầu nguyện
presence,sự có mặt
shock,sốc
snap,Snap
spider,con nhện
study,học
thunder,sấm sét
trail,đường mòn
admit,thừa nhận
agree,đồng ý
bag,túi
bang,tiếng nổ
bound,giới hạn
butterfly,Con bướm
Christmas,Giáng sinh
cute,dễ thương
exactly,một cách chính xác
explode,phát nổ
familiar,thân thuộc
flew,bay
fold,nếp gấp
further,hơn nữa
lit,lit
pierce,khoan
reflect,phản chiếu
scent,hương thơm
selfish,ích kỉ
sell,bán
sex,tình dục
sharp,sắc bén
sink,bồn nước
spring,mùa xuân
stumble,tình cờ gặp
universe,vũ trụ
we'd,Thứ Tư
weep,khóc
women,đàn bà
wonderful,Tuyệt vời
action,hoạt động
ancient,cổ xưa
attempt,nỗ lực
avoid,tránh
birthday,ngày sinh nhật
branch,chi nhánh
chocolate,sô cô la
core,cốt lõi
depress,làm giảm xuống
drunk,say
especially,đặc biệt là
focus,tiêu điểm
fruit,Hoa quả
honest,thật thà
match,trận đấu
Mr.,Ông.
palm,lòng bàn tay
perfectly,hoàn toàn
pillow,cái gối
piss,nước đái
pity,thương xót
poison,chất độc
roar,Gầm
shift,sự thay đổi
slightly,nhẹ nhàng
thump,đấm
truck,xe tải
tune,điệu nhạc
twenty,hai mươi
unable,không thể
wipe,lau đi
wrote,viết
American,Người Mỹ
bow,cây cung
coat,áo choàng
constant,không thay đổi
dinner,bữa ăn tối
drove,lái
egg,trứng
eternal,Vĩnh hằng
flight,chuyến bay
flood,lụt
frame,khung
freak,quái
gasp,giật nẩy lên
glad,vui vẻ
hollow,rỗng
motion,cử động
peer,ngang nhau
plastic,nhựa
root,nguồn gốc
screen,màn hình
season,Mùa
sting,sự chua chát
strike,đánh đập
team,đội
unlike,không giống
victim,nạn nhân
volume,âm lượng
warn,cảnh báo
weird,kỳ quặc
attack,tấn công
await,chờ đợi
awake,thức giấc
built,được xây dựng
charm,quyến rũ
crave,thèm
despair,tuyệt vọng
fought,chiến đấu
grant,ban cho
grief,nỗi buồn
horse,ngựa
limit,giới hạn
message,thông điệp
ripple,gợn sóng
sanity,sự tỉnh táo
scatter,tiêu tan
serve,giao banh
split,tách ra
string,sợi dây
trick,"bí quyết, Thuật, mẹo"
whore,điếm
annoy,làm phiền
blur,mơ hồ
boat,thuyền
brave,Dũng cảm
clearly,rõ ràng
cling,bám vào
connect,liên kết
fist,nắm tay
forth,trước
ha,ha
hip,hông
imagination,sự tưởng tượng
iron,sắt
jock,lính Scotland
judge,thẩm phán
lesson,bài học
milk,Sữa
misery,đau khổ
nail,cái đinh
naked,trần truồng
ourselves,mình
poet,bài thơ
possible,khả thi
princess,công chúa
sail,cánh buồm
seed,hạt giống
size,kích thước
snake,con rắn
society,xã hội
stroke,Cú đánh
tip,tiền boa
torture,tra tấn
toss,quăng
trace,dấu vết
wise,khôn ngoan
bloom,hoa
bullet,đạn
cell,tủ
check,kiểm tra
cost,Giá cả
darling,cục cưng
during,suốt trong
footstep,bước chân
fragile,dễ vỡ
hallway,hành lang
hardly,khó khăn
horizon,chân trời
invisible,vô hình
journey,hành trình
midnight,nửa đêm
mood,khí sắc
mud,bùn
nod,gật đầu
pause,tạm ngừng
relax,thư giãn
shiver,đánh vở
sudden,đột nhiên
thee,ngươi
value,giá trị
youth,thiếu niên
abuse,lạm dụng
admire,ngưỡng mộ
blink,chớp
breast,nhũ hoa
bruise,vết bầm
constantly,liên tục
couple,cặp đôi
creep,leo
curve,đường cong
difference,Sự khác biệt
dumb,câm
emptiness,sự trống rỗng
gotta,cần phải
honor,tôn kính
plain,đơn giản
planet,hành tinh
recall,Gợi lại
rub,chà
ship,tàu thủy
slam,sập
soar,bay lên
somebody,có ai
spit,nhổ nước miếng
tightly,chặt chẽ
TV,TV
weather,thời tiết
adore,yêu thích
approach,tiếp cận
bond,liên kết
bread,bánh mỳ
burst,nổ
candle,nến
cave,hang
coffee,cà phê
cousin,anh chị em họ
crime,tội ác
desert,Sa mạc
flutter,chớp cánh
frozen,Đông cứng
grand,lớn
hadn't,có không
heel,gót chân
hello,Xin chào
language,ngôn ngữ
level,mức độ
luck,sự may mắn
movement,sự chuyển động
pleasure,Hân hạnh
powerful,mạnh mẽ
random,ngẫu nhiên
rhythm,nhịp
settle,ổn định
silly,điên
slap,cái tát
sort,loại
spoken,nói
steel,Thép
tail,đuôi
threaten,hăm dọa
tumble,sụt giảm
upset,khó chịu
aside,qua một bên
awkward,vụng về
bee,con ong
bend,bẻ cong
blank,chỗ trống
board,bảng
button,cái nút
card,Thẻ
carefully,cẩn thận
complain,than phiền
crap,tào lao
crown,Vương miện
deeply,sâu sắc
discover,phát hiện
dive,lặn
drag,lôi kéo
dread,kinh sợ
effort,cố gắng
entire,toàn bộ
fairy,pháp sư
giant,khổng lồ
gotten,nhận
greet,Greet
illusion,ảo giác
jeans,Quần jean
leap,nhảy
liquid,chất lỏng
march,bước đều
mend,sự sửa chửa
nervous,thần kinh
nine,chín
pace,tốc độ
replace,thay thế
rope,dây thừng
spine,xương sống
stole,lấy trộm
terror,khủng bố
accident,Tai nạn
apple,con ngươi
balance,thăng bằng
bet,cá cược
boom,phát triển vượt bậc
childhood,tuổi thơ
collect,sưu tầm
cook,đầu bếp
demand,nhu cầu
depression,Phiền muộn
eight,tám
eventually,sau cùng
faint,mờ nhạt
gate,cổng
glare,chói
goal,ghi bàn
group,tập đoàn
honey,mật ong
kitchen,nhà bếp
laid,đặt
limb,chân tay
machine,cỗ máy
mere,chỉ là
mold,khuôn
murder,tội giết người
nerve,thần kinh
painful,đau đớn
pin,ghim
poetry,thơ
prince,Hoàng tử
rabbit,Con thỏ
sake,lợi ích
seal,niêm phong
seep,thấm
shelter,ẩn núp
shop,cửa tiệm
shore,bờ biển
shower,vòi hoa sen
soothe,Mềm Mại
stair,cầu thang
steady,vững chắc
sunlight,ánh sáng mặt trời
tangle,mớ
tease,người hay chọc ghẹo
treasure,kho báu
uncle,Chú
wine,rượu
begun,đã bắt đầu
bliss,chân phúc
bush,bụi cây
canvas,Tranh sơn dầu
cheer,vui lên
claw,móng
clutch,chân
commit,làm
crimson,đỏ thắm
crystal,pha lê
cure,chữa khỏi
delight,Hân hoan
dip,nhúng
doll,búp bê
ease,giảm bớt
existence,đời
express,bày tỏ
fog,sương mù
football,bóng đá
gay,đồng tính
goose,ngỗng
guard,bảo vệ
hatred,sự thù ghét
illuminate,Illuminate
mass,đa số
math,môn Toán
mourn,thương tiếc
pot,nồi
ray,cá đuối
rich,giàu có
rough,gồ ghề
skip,nhảy
stir,sự náo động
student,học sinh
style,Phong cách
support,ủng hộ
thorn,gai
tick,đánh dấu
tough,khó khăn
wore,mặc
yard,sân
yearn,khao khát
yesterday,hôm qua
advice,lời khuyên
appreciate,cảm kích
autumn,mùa thu
bank,ngân hàng
beam,chùm tia
bowl,bát
capture,chiếm lấy
carve,khắc chạm
chose,chọn
collapse,sự sụp đổ
confusion,sự hoang mang
creation,sự sáng tạo
dove,chim bồ câu
feather,lông vũ
girlfriend,bạn gái
glory,danh tiếng
government,chính quyền
harsh,thô ráp
hop,nhảy lò cò
inner,bên trong
loser,kẻ thất bại
meal,bữa ăn
moonlight,ánh trăng
neighbor,láng giềng
neither,không
peach,đào
pig,lợn
praise,khen
screw,Đinh ốc
shield,cái khiên
shimmer,nhấp nhoáng
sneak,kẻ cắp vặt
stab,cú đâm
subject,môn học
Sunday,chủ nhật
sweep,quét
throughout,xuyên suốt
thrown,ném
tower,tòa tháp
twirl,đường xoắn ốc
woke,tỉnh
wow,ồ
army,quân đội
arrive,đến nơi
bathroom,phòng tắm
bump,đâm sầm vào
cease,ngưng
cookie,bánh quy
couch,đi văng
